id,Tokens,Subject_Entity,Object_Entity,Subject_Type,Object_Type,Subject_Start,Subject_End,Object_Start,Object_End,True_Labels
001,Dr. Eleanor Fischer was recently appointed as the Chief Medical Officer at New York Presbyterian Hospital after a decade of service in pediatric medicine .,Eleanor Fischer,Chief Medical Officer,PERSON,TITLE,1,2,8,10,per:title
002,InnovateTech Corporation was established by Dr. Harrison Wells and his colleague to pioneer cutting-edge biotechnological advancements .,InnovateTech Corporation,Dr. Harrison,ORGANIZATION,PERSON,0,1,5,6,org:founded_by
003,Emily Reynolds and Daniel Reynolds celebrated their 20th wedding anniversary at a grand ceremony in Hawaii .,Emily Reynolds,Daniel Reynolds,PERSON,PERSON,0,1,3,4,per:spouse
004,"After a successful career spanning two decades , Michael Anderson was promoted to the position of Chief Technology Officer at Cyberdyne Industries .",Michael Anderson,Cyberdyne Industries,PERSON,ORGANIZATION,8,9,20,21,org:top_members/employees
005,"Born on June 14 1946 , Donald Trump became one of the most controversial figures in modern politics .",Trump became,June 14 1946,PERSON,DATE,7,8,2,4,per:date_of_birth
006,"Following a lengthy trial , Jonathan Henderson was convicted of insider trading and sentenced to five years in federal prison .",Jonathan Henderson,insider trading,PERSON,CRIMINAL_CHARGE,5,6,10,11,per:charges
007,"The official website of GlobalTech Solutions is www.globaltech.com , where customers can access support and purchase products .",GlobalTech Solutions,www.globaltech.com,ORGANIZATION,URL,4,5,7,7,org:website
008,"Throughout his acting career , Hugh Jackman has lived in both Australia and the United States for extended periods .",Hugh Jackman,both Australia and the United,PERSON,COUNTRY,5,6,10,14,per:countries_of_residence
009,"TechInnovators Inc. employs more than 50,000 individuals worldwide in fields ranging from artificial intelligence to renewable energy .",TechInnovators Inc.,"50,000",ORGANIZATION,NUMBER,0,1,5,5,org:number_of_employees/members
010,"Leonardo da Vinci was born in Vinci , Italy during the Renaissance period and became one of the most influential figures in art and science .",Leonardo da Vinci,Vinci,PERSON,CITY,0,2,6,6,per:city_of_birth
011,"Although ABC Corporation worked closely with XYZ Enterprises for years , they were never formally affiliated as parent or subsidiary companies .",ABC Corporation,XYZ Enterprises,ORGANIZATION,ORGANIZATION,1,2,6,7,no_relation
012,"Despite his deep admiration for Einstein , Dr. James McGill never met him in person but often cited his work in lectures .",Dr. James,Einstein,PERSON,PERSON,7,8,5,5,no_relation
013,"Dr. Jonathan Reeves was recently appointed as the Chief Data Scientist at NeuralTech , where he will lead the AI research division .",Jonathan Reeves,the Chief Data Scientist,PERSON,TITLE,1,2,7,10,per:title
014,"Quantum Dynamics was established in 2005 by Dr. Elaine Patterson , a renowned physicist and entrepreneur .",Quantum Dynamics,Dr. Elaine Patterson,ORGANIZATION,PERSON,0,1,7,9,org:founded_by
015,"After graduating from Oxford University , Michael Harrison lived in both Canada and Germany due to his work in international law .",Michael Harrison,both Canada and Germany,PERSON,COUNTRY,6,7,10,13,per:countries_of_residence
016,"With a staff of over 20,000 employees , Skyline Technologies remains one of the largest IT firms in North America .",Skyline Technologies,"over 20,000",ORGANIZATION,NUMBER,8,9,4,5,org:number_of_employees/members
017,Renowned author and historian Emily Sanders was born on July 14 1975 in Chicago .,Emily Sanders,July 14 1975,PERSON,DATE,4,5,9,11,per:date_of_birth
018,Former executive Richard Caldwell was charged with tax fraud and embezzlement following a high-profile investigation .,Richard Caldwell,tax fraud and embezzlement,PERSON,CRIMINAL_CHARGE,2,3,7,10,per:charges
